Sr_No,Category,Date,Subject,Status
"9.2.22","ADMINISTRATION","02.08.2018","Issuance of Provisional Completion Certificates or Completion Certificates in EPC Projects - reg.","Pending"
"9.2.23","ADMINISTRATION","12.04.2019","Modification of Schedule H of EPC contracts.","Pending"
"9.2.24","ADMINISTRATION","29.04.2019","Regarding Guidelines for discouraging Change of Scope (COS)/Reduction in Scope (RIS).","Pending"
"9.2.25","ADMINISTRATION","24.07.2019","Determination of Extension of Time (EOT); Payment of Price Adjustment & Damages in EPC Projects and interim payment of 90% of Price Adjustment.","Pending"
"9.2.26","ADMINISTRATION","16.08.2019","Interest Bearing Working Capital Advance against unbilled executed work to mitigate the cashflow problems of Contractors of EPC Projects.","Pending"
"9.2.27","ADMINISTRATION","23.09.2019","Delegation of Powers - Streamlining in-principle approvals for Change-of-Scope (COS)/ Reduction-in-Scope (RIS)","Pending"
"9.2.28","ADMINISTRATION","22.10.2019","Instructions for clearing the pending undisputed payments of Consultants & Contractors/ Concessionaires and ensuring timely release of payments in future.","Pending"
"9.2.29","ADMINISTRATION","05.11.2019","Hybrid Annuity Model (HAM) Projects ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Waiver of damages to the Concessionaires for delay in submission of the Performance Security BG or achieving the Financial Close for the cases where the Authority was not in a position to hand over RoW","Pending"
"9.2.3","ADMINISTRATION","31.12.2002","Streamlining the procedure for approval of variations","Pending"
"9.2.30","ADMINISTRATION","19.11.2019","Interest Bearing Working Capital Advance against unbilled executed work to mitigate the cash flow problems of HAM Concessionaire & EPC contractors and modification in Schedule-H of the EPC Contract.","Pending"
"9.2.31","ADMINISTRATION","20.12.2019","Instructions for clearing the pending undisputed payments of Consultants & Contractors/Concessionaires and ensuring timely release of payments in future.","Pending"
"9.2.32","ADMINISTRATION","17.01.2020","EPC Projects- Guidelines on granting provisional rescheduling of intermediate project milestones pending approval of final EOT for smooth contract administration.","Pending"
"9.2.33","ADMINISTRATION","26.02.2020","Format for conveying the approval of Extension of Time in EPC Projects","Pending"
"9.2.34","ADMINISTRATION","10.06.2020","Guidelines for determination of Cost of Change of Scope (COS)/ Reduction in Scope (RIS) due to Withdrawal of works/ Alteration(Change/omission in existing item) in Works in Engineering Procurement Contracts (EPC) Projects- Applicable Schedule of Rates; Design Charges; Maintenance Charges regarding.","Pending"
"9.2.35","ADMINISTRATION","10.05.2022","Identification of Abnormally Low Bid and seeking of Additional Performance Security/ Bank Guarantee (BG) in case of Abnormally Low Bids for EPC Projects– Reg.","Pending"
"9.2.36","ADMINISTRATION","23.05.2023","Start of Construction by Contractor / Concessionaire before appointed date","Pending"
"9.2.37","ADMINISTRATION","10.11.2023","Engagement of Personnel by Contractor in EPC Projects.","Pending"
"9.2.38","ADMINISTRATION","10.11.2023","Amendment to NHAI/Policy Guidelines/ Public Funded No.9.2.34/2020 dated 10.06.2020","Pending"
"9.2.39","ADMINISTRATION","10.11.2023","Amendment NHAI/Policy Guidelines/ Delegation of Powers/2019 No. 9.2.27/2019 dated 23.09.2019","Pending"
"9.2.4","ADMINISTRATION","03.10.2003","Recording in Measurement Books","Pending"
"9.2.40","ADMINISTRATION","24.05.2024","Guidelines for monitoring of Projects and issuance of Provisional Certificate of Completion (PCC)/Completion Certificate (CC) - reg.","Pending"
"9.2.41","ADMINISTRATION","31.12.2024","Policy Guidelines dated 21.08.2017 on Delegation of Powers; Streamlining in-principle approvals for Change of Scope (COS)/ Reduction in Scope (RIS)- reg.","Pending"
"9.2.5","ADMINISTRATION","21.10.2004","Engagement of Sub-Contractors uner civil works contracts on NHAI Projects","Pending"
"9.2.6","ADMINISTRATION","18.11.2004","Guidelines on maintenance and certification of measurement recorded in the Measurement Book","Pending"
"9.2.7","ADMINISTRATION","12.04.2006","Streamlining the procedure for approval of variations in individual BOQ items (Sub-Clause 51/2 of Conditions of Contract of Standard Bidding document of NHAI)","Pending"
"9.2.8","ADMINISTRATION","03.03.2008","Procedure for submission of proposals for variations.","Pending"
"9.2.9","ADMINISTRATION","29.12.2008","Procedure for timely granting of Extension of Time in Civil Work Contracts","Pending"
"9.3.1","ADMINISTRATION","05.06.2002","Minimum Value of IPC under Various Civil Works Contracts","Pending"
"9.3.10","ADMINISTRATION","12.01.2004","Utilization of Mobilization Advances","Pending"
"9.3.11","ADMINISTRATION","26.02.2004","Interest of recovery of mobilization advances/ payment of additional advances","Pending"
"9.3.12","ADMINISTRATION","03.03.2004","For Early Release of retention money.","Pending"
"9.3.13","ADMINISTRATION","20.05.2004","Payment of respect of Price Escalation","Pending"
"9.3.14","ADMINISTRATION","09.08.2004","Payment of respect of Price Escalation","Pending"
"9.3.15","ADMINISTRATION","09.05.2006","Release of retention money against bank guarantees.","Pending"
"9.3.16","ADMINISTRATION","20.09.2006","Minimum Value of IPC under Various Civil Works Contracts","Pending"
"9.3.17","ADMINISTRATION","13.01.2012","Price adjustment for variation in Binder Content -reg.","Pending"
"9.3.18","ADMINISTRATION","29.05.2012","Payment  of Escaltion of Material Advance","Pending"
"9.3.19","ADMINISTRATION","23.02.2021","Clarification to the Bank Rate mentioned in Cl. 19.2.1 of Standard EPC Agreement for National Highways and centrally sponsored Road & Bridge works proposed to be implemented on Engineering; Procurement & Construction (EPC) Mode-reg.","Pending"
"9.3.2","ADMINISTRATION","19.06.2002","Guidelines for payments to Contractors","Pending"
"9.3.3","ADMINISTRATION","10.01.2003","Guidelines for release of payments to Contractors/Consultants","Pending"
"9.3.4","ADMINISTRATION","26.06.2003","Payment of respect of Price Escalation","Pending"
"9.3.5","ADMINISTRATION","01.09.2003","Irregular Payment of Royalty/Taxes","Pending"
"9.3.6","ADMINISTRATION","25.09.2003","Payment of respect of Price Escalation","Pending"
"9.3.7","ADMINISTRATION","03.10.2003","Recovery of Mobilization of advances","Pending"
"9.3.8","ADMINISTRATION","04.11.2003","Rate of recovery of mobilization advances","Pending"
"9.3.9","ADMINISTRATION","18.11.2003","Payment of Mobilization Advance to the Contractors","Pending"
"9.4.1","ADMINISTRATION","03.07.2003","Transfer of Corridors to Corridor Mangement Division","Pending"
"9.4.10","ADMINISTRATION","07.10.2008","(a) procedure for payment under Change of Scope Orders in case of BOT projects; and (b) Recovery of 20% of value of work not completed upon termination of contract on accountof default of the contractor as per Sub-CI 63.3 of COPA under NHDP Phase-II Standard Document.","Pending"
"9.4.11","ADMINISTRATION","23.07.2012","Repair & Maintenance of NHDP and Non NHDP Stretches","Pending"
"9.4.12","ADMINISTRATION","01.08.2012","Delegation of Powers with respect to O&M works for 4/6 lane stretches mainted by NHAI.","Pending"
"9.4.13","ADMINISTRATION","08.11.2012","Delegation of Powers with respect to O&M works for 4/6 lane stretches mainted by NHAI.","Pending"
"9.4.14","ADMINISTRATION","26.02.2013","Delegation of powers for other work contracts reg.","Pending"
"9.4.15","ADMINISTRATION","31.05.2013","Delegation of Powers with respect to O&M works for 4/6 lane stretches mainted by NHAI.","Pending"
"9.4.16","ADMINISTRATION","27.01.2014","Maintenance and repair of roads and appointement of Site Engineer.","Pending"
"9.4.17","ADMINISTRATION","14.02.2014","O&M of 4/6 Laned Corridors.","Pending"
"9.4.18","ADMINISTRATION","31.05.2013","Delegation of Powers with respect to O&M works for 4/6 lane stretches mainted by NHAI.","Pending"
"9.4.19","ADMINISTRATION","14.02.2014","Bidding parameter for O&M contracts for 4/6 laned corridors.","Pending"
"9.4.2","ADMINISTRATION","13.04.2004","Maintenance of entrusted highways during monsoon - reg.","Pending"
"9.4.20","ADMINISTRATION","17.04.2015","Maintenance and repair of roads and appointement of Site Engineer.","Pending"
"9.4.21","ADMINISTRATION","28.11.2016","Revised Delegation of Power with respect to Operation & Maintenance (O&M) works for (4/6 lane) stretches maintained by NHAI.","Pending"
"9.4.22","ADMINISTRATION","30.08.2019","Monitoring of Operation & Maintenance (O&M) obligations of Concessionaires/ Contractors.","Pending"
"9.4.23","ADMINISTRATION","02.03.2021","Equipment based monitoring of the projects during O&M phase.","Pending"
"9.4.24","ADMINISTRATION","13.05.2022","Operation &Maintenance (O&M) works for (2/4/6 lane) stretches entrusted to NHAI – Reg.","Pending"
"9.4.25","ADMINISTRATION","07.08.2023","वित्तीय वर्ष 2023-24 के लिए पीबीएमसी कार्यों की अधिप्राप्ति प्रक्रिया के संबंध में।","Pending"
"9.4.26","ADMINISTRATION","23.11.2023","Addendum in SOP for preparation of estimates and implementation of PBMC circulated vide Policy Guidelines no. 9.4.25/2023 dated 07.08.2023.-reg.","Pending"
"9.4.27","ADMINISTRATION","15.12.2023","Procedure for implementation of a stretch on PBMC mode or strengthening/ improvement work – reg.","Pending"
"9.4.28","ADMINISTRATION","23.02.2024","Amendment in RFP of the PBMC documents and its SOP – reg.","Pending"
"9.4.29","ADMINISTRATION","17.05.2024","Amendment in RFP of the PBMC documents- reg.","Pending"
"9.4.3","ADMINISTRATION","10.08.2004","Beautification of National Highways leading to four  metropolitan cities i.e. Delhi;Mumbai;Chennai;Kolkatta and Hyderabad;Banglore and Ahmedabad.","Pending"
"9.4.30","ADMINISTRATION","09.12.2024","Clarification regarding Delegation of Power with respect to Operation & Maintenance (O&M) Works in case of the Stretches maintained by NHAI- reg.","Pending"
"9.4.4","ADMINISTRATION","13.01.2005","Operation & Maintenace of completed corridors - Late submission of BOQ","Pending"
"9.4.5","ADMINISTRATION","03.06.2005","Maintenance of entrusted highways during monsoon - reg.","Pending"
"9.4.6","ADMINISTRATION","18.05.2006","Release of funds to state PWDs for maintenance of National Highways-reg.","Pending"
"9.4.7","ADMINISTRATION","16.04.2008","Repair & Maintenance of NHDP and Non NHDP Stretches","Pending"
"9.4.8","ADMINISTRATION","01.05.2008","Repair & Maintenance of NHDP and Non NHDP Stretches","Pending"
"9.4.9","ADMINISTRATION","01.08.2008","Approval regarding requiremnt of crane;mechanized broomer/dust sucker vehicle in O&M contracts and release of 75% payment for variation in BOQ items and provision of GPS and GIS.","Pending"
"9.5.1","ADMINISTRATION","16.02.2010","NH(O) Projects of MORTH entrusted to NHAI - Timely submission of Revised Cost Estimates to MORTH","Pending"
"9.5.2","ADMINISTRATION","17.6.2010","Provision of wayside amenities in new projects of improvement of highways on BOT (Toll)/BOT (Annuity)/EPC basis.","Pending"
"9.5.3","ADMINISTRATION","04.02.2020","Land Acquisition & Construction of way-side Amenities (WSAs)/Rest Areas and identification of monetizable land parcels in the projects (Not yet awarded)","Pending"
"10.1.1","ADMINISTRATION","07.12.2005","Evaluation procedure of bids received from Consultancy firms for DPR preparation.","Pending"
"10.1.10","ADMINISTRATION","25.07.2012","Delegation of Power during Intermediate stages in selection of consultants/concessions and composition of Evolution Committee.","Pending"
"10.1.11","ADMINISTRATION","02.09.2013","Review of procurement procedure of Independent Engineer and other consultants for BOT and EPC Projects.","Pending"
"10.1.12","ADMINISTRATION","25.02.2014","Points to be covered in the RFP documents of Consultancy Assignment on National Highways & related Centrally Sponsored Works.","Pending"
"10.1.13","ADMINISTRATION","12.05.2014","NHAI is preparing a set of key performance indicators (KPI) for evaluation and assessment of performance of the consultancy firms working with NHAI.","Pending"
"10.1.14","ADMINISTRATION","26.11.2014","Submission of fake/incorrect/inflated CVs.","Pending"
"10.1.15","ADMINISTRATION","10.12.2015","Single Tender for Consultancy Services Clarification ? reg.","Pending"
"10.1.16","ADMINISTRATION","12.06.2017","Guidelines for preparation of Detailed Project Reports (DPRs).","Pending"
"10.1.17","ADMINISTRATION","23.06.2017","Acceptance of Single Tender for Consultancy Services ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“Clarification-reg.","Pending"
"10.1.18","ADMINISTRATION","30.04.2019","Regarding Project Proposals in DPR Stage- Provision of Vehicular Underpass/Flyover/ Overpass.","Pending"
"10.1.19","ADMINISTRATION","03.10.2019","Mandatory 15 days certification course for Road Safety Expert-reg.","Pending"
"10.1.2","ADMINISTRATION","11.10.2006","General issues of Key Personnel in various Consultancy projects ?reg.","Pending"
"10.1.20","ADMINISTRATION","18.10.2019","Guidelines on number of lanes at toll plazas to be designed duly considering hybrid ETC lanes and deciding Change of Scope in such works in ongoing Contracts.","Pending"
"10.1.21","ADMINISTRATION","21.05.2020","Appointment of Independent Engineer (IE) / Authority Engineer (AE) / Supervision Consultant (SC)","Pending"
"10.1.22","ADMINISTRATION","10.08.2020","Technical Capacity provisions in RFP / Bidding of future consultancy assignments for maximum works to be permitted with one consultant.","Pending"
"10.1.23","ADMINISTRATION","04.09.2020","Addendum to standard RFP document for engagement of technical consultants –   reg.","Pending"
"10.1.24","ADMINISTRATION","03.11.2020","Appointment of Independent Engineer (IE) / Authority Engineer (AE) / Supervision Consultant (SC)","Pending"
